Date	PTS	2 PTM	2 PTT	2 PT%	3 PTM	3 PTT	3 PT%	FGM	FGT	FG %	FTM	FTT	FT %
28-09-2021	0	0	0	-	0	0	-	0	0	-	0	0	-
30-09-2021	4	2	2	100.00%	0	3	0.00%	2	5	40.00%	0	0	-
01-10-2021	8	1	1	100.00%	2	6	33.33%	3	7	42.86%	0	0	-
04-10-2021	0	0	0	-	0	0	-	0	0	-	0	0	-
05-10-2021	0	0	0	-	0	0	-	0	0	-	0	0	-
06-10-2021	18	6	8	75.00%	2	9	22.22%	8	17	47.06%	0	0	-
07-10-2021	25	8	12	66.67%	3	11	27.27%	11	23	47.83%	0	0	-
12-10-2021	49	8	9	88.89%	11	28	39.29%	19	37	51.35%	0	0	-
13-10-2021	25	3	6	50.00%	6	11	54.55%	9	17	52.94%	1	2	50.00%
14-10-2021	29	9	9	100.00%	3	11	27.27%	12	20	60.00%	2	3	66.67%
18-10-2021	24	6	12	50.00%	4	12	33.33%	10	24	41.67%	0	0	-
19-10-2021	32	3	7	42.86%	8	25	32.00%	11	32	34.38%	2	2	100.00%
20-10-2021	10	2	7	28.57%	2	7	28.57%	4	14	28.57%	0	0	-
21-10-2021	52	5	9	55.56%	14	26	53.85%	19	35	54.29%	0	0	-
25-10-2021	21	6	9	66.67%	3	7	42.86%	9	16	56.25%	0	0	-
26-10-2021	20	6	13	46.15%	2	9	22.22%	8	22	36.36%	2	2	100.00%
27-10-2021	4	2	5	40.00%	0	5	0.00%	2	10	20.00%	0	0	-
01-11-2021	15	3	5	60.00%	3	5	60.00%	6	10	60.00%	0	0	-
02-11-2021	25	2	7	28.57%	7	18	38.89%	9	25	36.00%	0	0	-
03-11-2021	28	4	5	80.00%	6	11	54.55%	10	16	62.50%	2	2	100.00%
04-11-2021	21	5	7	71.43%	3	6	50.00%	8	13	61.54%	2	4	50.00%
08-11-2021	13	5	5	100.00%	1	4	25.00%	6	9	66.67%	0	0	-
09-11-2021	0	0	0	-	0	0	-	0	0	-	0	0	-
10-11-2021	17	1	3	33.33%	5	7	71.43%	6	10	60.00%	0	0	-
15-11-2021	22	2	6	33.33%	6	12	50.00%	8	18	44.44%	0	2	0.00%
16-11-2021	34	2	5	40.00%	10	16	62.50%	12	21	57.14%	0	0	-
17-11-2021	38	10	18	55.56%	6	17	35.29%	16	35	45.71%	0	0	-
18-11-2021	2	1	3	33.33%	0	2	0.00%	1	5	20.00%	0	0	-
22-11-2021	34	10	19	52.63%	4	13	30.77%	14	32	43.75%	2	3	66.67%
23-11-2021	48	9	14	64.29%	9	18	50.00%	18	32	56.25%	3	3	100.00%
24-11-2021	21	4	7	57.14%	4	15	26.67%	8	22	36.36%	1	1	100.00%
25-11-2021	11	1	4	25.00%	3	12	25.00%	4	16	25.00%	0	1	0.00%
30-11-2021	7	2	2	100.00%	1	8	12.50%	3	10	30.00%	0	0	-
01-12-2021	11	3	7	42.86%	1	6	16.67%	4	13	30.77%	2	3	66.67%
02-12-2021	25	1	3	33.33%	6	18	33.33%	7	21	33.33%	5	5	100.00%
